book	scan_page	before	garbage	after	script	reading	conf
psalms	37	word 1^011, derived from	IDn,	love to	heb	חסד	76
psalms	59	iP^y^J and	U^'^y}))	is not	heb	(עניים	93
psalms	60	seems to point out	""jy		heb	עני	93
psalms	62	lated sufferer	{HD/tl	for ^Vh)	heb	חלכה)	76
psalms	64	the Hebrew Bible reads	(D^pS/)		heb	(ענוים)	93
psalms	64	while the text has	(D^^J^)	suffering or	heb	(עניים)	89
psalms	65	those translated to defy	(yij^)	and earth	heb	(ערץ)	89
psalms	68		n^DH,	whether taken	heb	חסיד	89
psalms	70	This is the phrase	/v^H		heb	בעליל	93
psalms	70		ynj<7.	To the	heb	לארץ	79
psalms	72	shall he shaken.—The verb	"^roy		heb	יכלתי	91
psalms	72		(Vrhy)	cannot be	heb	(יכלתיו)	92
psalms	73	there were no God!—because	]^J>i	in usage	heb	אין	93
psalms	75	poor. Some, however, give	lli/^^ri	its usual	heb	תבישו	92
psalms	75	his people." But as	31tt^	in every	heb	שוב	97
psalms	77	defamatory accusation. The verb	i^Wi	is by	heb	נשא	93
psalms	77	must be represented by	Di^Dj,	rejected, i.	heb	נמאס	86
psalms	77	explain	J^IH?	to the	heb	להרע	92
psalms	77	swear to do evil	iyi'^TD)	or to	heb	(להרע)	92
psalms	77	not taken. JJoing these	{things),	he shall	grc	(ἐλύη 95)	68
psalms	78	person,	i^lQ^^	for T\'^Q^i	heb	אמרת	83
psalms	78	person, i^lQ^^ for	T\'^Q^i	and translate	heb	אמרתי	90
psalms	79	their sorrows,	{Dry)2^)^),	there seems	heb	(עצבותם)	86
psalms	80		IHQ	in its	heb	מהר	92
psalms	80	xxxvi. 11. The particle	(P|J<})	which introduces	heb	(אַף)	81
psalms	82		(TT'DH)	being a	heb	(חסידך)	91
psalms	82	has been disputed whether	HH^	is derived	heb	שחת	97
psalms	82	from	TVi^y	and means	heb	שוח	70
psalms	82	a pit, or from	JlHli^,	and means	heb	שחת	89
psalms	82	the clear analogy of	nnj,		heb	נחת	81
psalms	82	gender, as derived from	/in3	and Xy\1-	heb	נחת	93
psalms	83	; thine eyes shall	he-		grc	ῥε-	71
psalms	84	I say, ^'^0^^ from	IDhi	to say.	heb	אמר	91
psalms	86	cult expression	ibniD	is by	heb	מחלד	78
psalms	86	upon it. Others give	ibn	its primary	heb	חלד	93
psalms	90	ellipsis of the noun	(^hi)	anger. The	heb	(אַף)	76
psalms	95	that of mere assistance	{hy	thee), which	grc	(ὃν	76
psalms	96	almost lost their original	mean-		heb	- מא68ות	73
psalms	98	salvation. The first phrase,	{DSTV	^n) which	heb	יהוה)	73
psalms	98		TiVdH)	vive le	heb	(המלד	74
