book	scan_page	before	garbage	after	script	reading	conf
psalms	59	iP^y^J and	U^'^y}))	is not	heb	(עניים	93
psalms	64	the Hebrew Bible reads	(D^pS/)		heb	(ענוים)	93
psalms	64	while the text has	(D^^J^)	suffering or	heb	(עניים)	89
psalms	65	those translated to defy	(yij^)	and earth	heb	(ערץ)	89
psalms	68		n^DH,	whether taken	heb	חסיד	89
psalms	70	This is the phrase	/v^H		heb	בעליל	93
psalms	70		ynj<7.	To the	heb	לארץ	79
psalms	72	shall he shaken.—The verb	"^roy		heb	יכלתי	91
psalms	72		(Vrhy)	cannot be	heb	(יכלתיו)	92
psalms	73	there were no God!—because	]^J>i	in usage	heb	אין	93
psalms	75	poor. Some, however, give	lli/^^ri	its usual	heb	תבישו	92
psalms	75	his people." But as	31tt^	in every	heb	שוב	97
psalms	77	defamatory accusation. The verb	i^Wi	is by	heb	נשא	93
psalms	77	must be represented by	Di^Dj,	rejected, i.	heb	נמאס	86
psalms	77	explain	J^IH?	to the	heb	להרע	92
psalms	77	swear to do evil	iyi'^TD)	or to	heb	(להרע)	92
psalms	78	person,	i^lQ^^	for T\\'^Q^i	heb	אמרת	83
psalms	78	person, i^lQ^^ for	T\\'^Q^i	and translate	heb	אמרתי	90
psalms	79	their sorrows,	{Dry)2^)^),	there seems	heb	(עצבותם)	86
psalms	80		IHQ	in its	heb	מהר	92
psalms	80	xxxvi. 11. The particle	(P|J<})	which introduces	heb	(אַף)	81
psalms	82		(TT'DH)	being a	heb	(חסידך)	91
psalms	82	has been disputed whether	HH^	is derived	heb	שחת	97
psalms	82	a pit, or from	JlHli^,	and means	heb	שחת	89
psalms	82	the clear analogy of	nnj,		heb	נחת	81
psalms	82	gender, as derived from	/in3	and Xy\\1-	heb	נחת	93
psalms	84	I say, ^'^0^^ from	IDhi	to say.	heb	אמר	91
psalms	86	cult expression	ibniD	is by	heb	מחלד	78
psalms	86	upon it. Others give	ibn	its primary	heb	חלד	93
psalms	98	to be praised, like	pvllD	in ver.	heb	מהלל	92
psalms	104	the same Hebrew phrase	(p^in'?)	in the	heb	(לרצון)	85
psalms	123	indirectly to the Greek	olxov/Mivri,	or inhabited	grc	οἰκουμένη	82
psalms	124	tion')	(SlJi/'? HU.^2)	is found	heb	(נשא לשוא)	82
psalms	124	mere poetical variation of	KltS^n Vni	and that	heb	אל השוא	97
psalms	126	be favoured by the	aafSauS	of the	grc	σαβαώθ	95
psalms	128	more natural to take	D^IJ^	as a	heb	עגוים	81
psalms	131	explanation of	nSmHi	as a	heb	צרופה	91
psalms	132	but the use of	Ti^S,	in the	heb	כבוד	78
psalms	133	viii. 31-35.—The noun	^TI'Q	is sometimes	heb	מעזו	88
psalms	134	the absolute use of	nSD^i	in the	heb	בוטח	94
psalms	139	probable solution is that	W^^l^		heb	אלים	93
psalms	139	is here used as	DN"t7hi	is elsewhere,	heb	אלהים	92
psalms	139	kind of ellipsis for	D''7K	7^♦,	heb	אלים	92
psalms	144	etymology and sense of	J^n^,	either of	heb	שחת	97
psalms	149	The predominant usage of	D''J'IO^^	is in	heb	אמונים	91
psalms	162	passive form, however, that	UVh	means to	heb	לחם	91
psalms	163	identical with the Scythian	cdya^ig,	or battle-axe.	grc	σάγαρις	92
psalms	163	by the unambiguous form	Tl^	in ver.	heb	יהי	97
psalms	164	is simpler to let	HKiti^B	qualify the	heb	בשואה	89
psalms	168		(Dh^J)	is a	heb	(נאם)	91
psalms	168	The usual combination is	{TtitX* DW)	a dictum	heb	(נאם יהוה)	87
psalms	169	but famihar version of	nirT"	D^?2 in	heb	יהוה	91
psalms	169		rhUV	0^2, can	heb	יהוה	91
psalms	169	on the other hand,	^ti^l7	indicates the	heb	לרשע	91
psalms	173	is the explanation of	^J!)D^<	as an	heb	אמונה	89
psalms	180	the impossibility of making	tt^^^<7	mean of	heb	לאיש	91
psalms	182		TJ^D	is originally	heb	מאד	93
psalms	185	enemies are strong. But	D^H	is the	heb	חיים	82
psalms	185	for life, and as	Ip;^^ ""i^Jli^	means my	heb	שנאי שקר	92
psalms	185	me of it. Compare	U^S32 ''Il''K	in Ps.	heb	איבי בנפש	94
psalms	187	in the compound phrase	(HD'^y)	until what	heb	(עדדמה)	88
psalms	187	? The verbal adjective	(/in),	as in	heb	(חדל)	92
psalms	188	ous use of	^Iiri;	and its	heb	חבל	93
psalms	189	deduction of meanings in	JinDhA		heb	תרכחת	92
psalms	196	phrase (^7	^ti^H^)	may either	heb	(יחשב	89
psalms	197		(")tyS^)	orignally means	heb	(יאשר)	92
psalms	198		(i^T)	means to	heb	(יצא)	93
psalms	198	of the Hebrew word	(iTJ^I),	a modified	heb	(רעה)	87
psalms	199	24), the same participle	(p^2i^)	seems to	heb	(יצוק)	87
psalms	232	sponding Greek word	(rifiii).	It here	grc	(τιμῆ)	82
psalms	233	synonyme in greek	('roifMaivu)	we have	grc	(ποιμαίνω)	90
psalms	252	tion of	(^ly)	iniquity for	heb	(עול)	91
psalms	252	of (^ly) iniquity for	[T^'^'^J)	deed or	heb	(עלילה)	93
psalms	255	masoretic reading	(H^li^"')	must be	heb	(ישיב)	90
psalms	259	on the masoretic reading	(S^J5^^		heb	ישיא)	85
psalms	259		rf\\12i);	but the	heb	; (מות	83
psalms	262	derivative of the verb	(J\\n^)	to corrupt	heb	(שחת)	91
psalms	277	thy engagements. The word	(DJJ)	translated banner	heb	(נס)	92
psalms	292	the word	/ll/yDD	occurs.	heb	מפעלות	92
psalms	302	of text by reading	ymH	as inPs.	heb	תרחץ	91
psalms	302	verb	(ynDJn)	must have	heb	(תמחץ)	91
psalms	302	last word in Hebrew	On3Q)	is by	heb	(מנהו)	87
psalms	302	Greek	h^ov,	meaning the	grc	ἱερόν	95
psalms	313	to give the noun	(JlT)1iJ)		heb	(נבורות)	91
psalms	326	the tent of meeting	OTV^		heb	אהל)	93
psalms	326		lyto);	not merely	heb	(מועד	84
psalms	332	word in Hebrew	(DHn)	admits of	heb	(הרים)	92
psalms	343	required another Hebrew word	(OlX),	but distributively	heb	(אדם)	78
psalms	352	fathers. The verb hasten	("IHD)	may be	heb	(מהר)	84
psalms	353	an obvious derivative from	(JTlD)	death, bearing	heb	(מות)	90
psalms	374	that he is a	(TDH)	saint or	heb	(חסיד)	93
psalms	396	the question	{hoio	long ?)	grc	(λοιυ	90
psalms	397	of pointing OQ>i) for	(IQ^),	or suppose	heb	(אמר)	81
psalms	404	form of the verb	(1DJ<)	to	heb	(אמר)	92
psalms	410	of the objective particle	if\\i^)	in the	heb	(את)	90
psalms	416	in Hebrew, and as	HHhJ	is not	heb	אהב	92
psalms	418	the pronoun	(linjJ^)	we with	heb	(אנחנו)	91
psalms	418	pronoun (linjJ^) we with	iyoyl)	his people	heb	(עמו)	90
psalms	418	with its derivative noun	(H^ii^)		heb	(תודה)	87
psalms	426	of the Hebrew verb	(P)^n).	The cor-	heb	(חלף)	81
psalms	426	with the Greek 6	auro'j,	which is	grc	αὗτός	91
psalms	428	the twofold sense of	(iin^i^)	the word	heb	(שחת)	93
psalms	439	a single Hebrew word	(ti'Ql)	the	heb	(רמש)	91
psalms	464	of (Tfy) tmto into	O'^D).	from above,	heb	(מעל)	91
psalms	472	place where the word	(miT)	occurs, it	heb	(ילדות)	90
psalms	472	vii. 15) another word	(o^co/oxTjra)	is substituted,	grc	(ὁμοιότητα)	85
psalms	485		Uiik	from Hhi	heb	אנא	96
psalms	493	time. The whole phrase	(niVK/'in		heb	הושיעה)	92
psalms	493	the name	i^jlTl	or 6	heb	הבא	89
psalms	493	name i^jlTl or 6	i^yoiuiw^	was afterwards	grc	ἐρχόμενος	96
psalms	495	Compare the use of	(Hi^O)	as a	heb	(מאד)	93
psalms	496	2, both begin with	(>Hi^i^)	happiness or	heb	(אשרי)	92
psalms	498	to slumber (LXX.	svvsra^sv.	Vulg. dormitavit),	grc	ἐνύσταξεν	88
psalms	499	but the negative term	(l^lliO	meaning	heb	(שוא)	92
psalms	501	require a different combination	{vb}f 'Wi^)	to convey	heb	(אשר עליו)	93
psalms	501	the one here used	("nifK	by) may	heb	אשר)	93
psalms	502	two with the pronoun	(/^hit)	this.	heb	(זאת)	92
psalms	504	by the addition of	(DJ^Q)	a word	heb	(מעם)	92
psalms	506	the word	{yjiiH)	good.	heb	(טוב)	92
psalms	506	Hebrew particle of entreaty	(KJ)>	correctly paraphrased	heb	(נא)	88
psalms	506	in the last clause	{''J/'V	aitd	heb	ידעי)	90
psalms	507		Ijjl^)	does not	heb	(ידעו	93
psalms	508	of the verb	(n^D)	to fail	heb	(כלח)	92
psalms	513	forms of the verb	(Hll^y)	to do.	heb	(עשה)	91
psalms	514	Hebrew word	(lOS^O)	has here	heb	(משפט)	83
psalms	515	where two cognate forms	(Hp'ljf	and p"T2i)	heb	צדקה)	90
psalms	515	cognate forms (Hp'ljf and	p"T2i)	are employed.	heb	(צרק	92
psalms	516	of hilp, two of	^Ip,	three	heb	קרב	93
psalms	517	with the cognate form	(j^^li^MI)	in Ps.	heb	(ראשית)	92
psalms	519	initial word repeated is	i^T\\F\\)	the verb	heb	(תהי)	90
psalms	519	28. The Hebrew verb	(nby)	employed in	heb	(עלה)	92
psalms	519	Hebrew	Jli'D^p),	seven on	heb	(מעלות	84
psalms	520	might be described by	(ni/VD)	the Hebrew	heb	(מעלות)	88
psalms	520	is called an ascent	(nVyO)	by Ezra	heb	(מעלה)	90
psalms	525	hold to be the	[DwV^)	degrees, from	heb	(מעלות)	89
psalms	528	of the usual combination	(imiU' 3l2J^)	return to	heb	(שוב שבוּת)	79
psalms	529	{people). The particle	(T^i)	then is	heb	(אז)	85
psalms	533	participle of the verb	("IDS?)		heb	(עמר)	92
psalms	533	and may agree with	("liJIp)	reaper in	heb	(קוצר)	93
psalms	543	usage of the verb	OlH)		heb	(הרג)	93
psalms	545	plural lights	(Q^IIK)	occurs only	heb	(אורים)	92
psalms	548	monly expressed by	(tt^bl)	a different	heb	(רטש)	93
psalms	553	roots	(n^S	and X^S)).	heb	פלה)	92
psalms	555	a kindred one (071^	PtSyr\\2)	used by	heb	(נתיבות	91
psalms	556	is the generic term	(DTi^),	the	heb	(אדם)	82
psalms	556	other the individual designation	{]t}'^ik),	which seem,	heb	(איש)	78
psalms	559		(ypl)	is expressly	heb	(בקע)	93
psalms	565	the Greek	^X/x/a)	both to	grc	ἡλικία)	95
psalms	566	as the Hebrew words	{Tib^D	and rhnPi)	heb	תפלה)	86
