old	new	script	conf
(D^pS/)	(ענוים)	heb	93
(D^^J^)	(עניים)	heb	89
(yij^)	(ערץ)	heb	89
n^DH,	חסיד	heb	89
/v^H	בעליל	heb	93
ynj<7.	לארץ	heb	79
"^roy	יכלתי	heb	91
(Vrhy)	(יכלתיו)	heb	92
]^J>i	אין	heb	93
lli/^^ri	תבישו	heb	92
31tt^	שוב	heb	97
i^Wi	נשא	heb	93
Di^Dj,	נמאס	heb	86
J^IH?	להרע	heb	92
iyi'^TD)	(להרע)	heb	92
i^lQ^^	אמרת	heb	83
T\'^Q^i	אמרתי	heb	90
IHQ	מהר	heb	92
(P|J<})	(אַף)	heb	81
(TT'DH)	(חסידך)	heb	91
HH^	שחת	heb	97
JlHli^,	שחת	heb	89
nnj,	נחת	heb	81
/in3	נחת	heb	93
IDhi	אמר	heb	91
ibniD	מחלד	heb	78
give ibn	give חלד	heb	93
pvllD	מהלל	heb	92
(p^in'?)	(לרצון)	heb	85
olxov/Mivri,	οἰκουμένη	grc	82
KltS^n Vni	אל השוא	heb	97
aafSauS	σαβαώθ	grc	95
take D^IJ^	take עגוים	heb	81
nSmHi	צרופה	heb	91
Ti^S,	כבוד	heb	78
^TI'Q	מעזו	heb	88
nSD^i	בוטח	heb	94
W^^l^	אלים	heb	93
DN"t7hi	אלהים	heb	92
D''7K	אלים	heb	92
J^n^,	שחת	heb	97
D''J'IO^^	אמונים	heb	91
UVh	לחם	heb	91
cdya^ig,	σάγαρις	grc	92
form Tl^	form יהי	heb	97
HKiti^B	בשואה	heb	89
(Dh^J)	(נאם)	heb	91
nirT"	יהוה	heb	91
rhUV	יהוה	heb	91
^ti^l7	לרשע	heb	91
^J!)D^<	אמונה	heb	89
tt^^^<7	לאיש	heb	91
TJ^D	מאד	heb	93
D^H	חיים	heb	82
Ip;^^ ""i^Jli^	שנאי שקר	heb	92
U^S32 ''Il''K	איבי בנפש	heb	94
(HD'^y)	(עדדמה)	heb	88
(/in),	(חדל)	heb	92
^Iiri;	חבל	heb	93
JinDhA	תרכחת	heb	92
^ti^H^)	(יחשב	heb	89
(")tyS^)	(יאשר)	heb	92
(i^T)	(יצא)	heb	93
(iTJ^I),	(רעה)	heb	87
(p^2i^)	(יצוק)	heb	87
(rifiii).	(τιμῆ)	grc	82
('roifMaivu)	(ποιμαίνω)	grc	90
(^ly)	(עול)	heb	91
(H^li^"')	(ישיב)	heb	90
(S^J5^^	ישיא)	heb	85
(J\n^)	(שחת)	heb	91
(DJJ)	(נס)	heb	92
/ll/yDD	מפעלות	heb	92
ymH	תרחץ	heb	91
(ynDJn)	(תמחץ)	heb	91
On3Q)	(מנהו)	heb	87
h^ov,	ἱερόν	grc	95
(JlT)1iJ)	(נבורות)	heb	91
OTV^	אהל)	heb	93
lyto);	(מועד	heb	84
(DHn)	(הרים)	heb	92
(OlX),	(אדם)	heb	78
("IHD)	(מהר)	heb	84
(JTlD)	(מות)	heb	90
(TDH)	(חסיד)	heb	93
(IQ^),	(אמר)	heb	81
(1DJ<)	(אמר)	heb	92
if\i^)	(את)	heb	90
HHhJ	אהב	heb	92
(linjJ^)	(אנחנו)	heb	91
iyoyl)	(עמו)	heb	90
(H^ii^)	(תודה)	heb	87
(P)^n).	(חלף)	heb	81
auro'j,	αὗτός	grc	91
(iin^i^)	(שחת)	heb	93
(ti'Ql)	(רמש)	heb	91
O'^D).	(מעל)	heb	91
(miT)	(ילדות)	heb	90
(o^co/oxTjra)	(ὁμοιότητα)	grc	85
Uiik	אנא	heb	96
(niVK/'in	הושיעה)	heb	92
i^jlTl	הבא	heb	89
i^yoiuiw^	ἐρχόμενος	grc	96
(Hi^O)	(מאד)	heb	93
(>Hi^i^)	(אשרי)	heb	92
svvsra^sv.	ἐνύσταξεν	grc	88
(l^lliO	(שוא)	heb	92
{vb}f 'Wi^)	(אשר עליו)	heb	93
("nifK	אשר)	heb	93
(/^hit)	(זאת)	heb	92
(DJ^Q)	(מעם)	heb	92
(KJ)>	(נא)	heb	88
Ijjl^)	(ידעו	heb	93
(n^D)	(כלח)	heb	92
(Hll^y)	(עשה)	heb	91
(lOS^O)	(משפט)	heb	83
(Hp'ljf	צדקה)	heb	90
p"T2i)	(צרק	heb	92
^Ip,	קרב	heb	93
(j^^li^MI)	(ראשית)	heb	92
i^T\F\)	(תהי)	heb	90
(nby)	(עלה)	heb	92
Jli'D^p),	(מעלות	heb	84
(ni/VD)	(מעלות)	heb	88
(nVyO)	(מעלה)	heb	90
(imiU' 3l2J^)	(שוב שבוּת)	heb	79
(T^i)	(אז)	heb	85
("IDS?)	(עמר)	heb	92
("liJIp)	(קוצר)	heb	93
OlH)	(הרג)	heb	93
(Q^IIK)	(אורים)	heb	92
(tt^bl)	(רטש)	heb	93
(n^S	פלה)	heb	92
PtSyr\2)	(נתיבות	heb	91
(DTi^),	(אדם)	heb	82
{]t}'^ik),	(איש)	heb	78
(ypl)	(בקע)	heb	93
^X/x/a)	ἡλικία)	grc	95
