chapter	old	new	src
2	Mai.	Mal.	crop2
6	gener^	general	crop2
8	*Gitti*	*Gitti,*	hand
9	Musician^	Musician,	hand
9	labben.*	Al-muth-labben.*	hand
10	tiiat	that	hand
11	Mo^t	Most	crop2
11	grammatical-, tical	grammatical	crop2-dictgate-manual
12	*7w)3-*	*עליל)3-*	crop2
12	*\^i^*	*ארץ*	crop2
12	tV^,	בעל,	crop2
13	^ell-founded	well-founded	crop2
14	*Oy>)*	*יגל)*	crop2
15	אֶמּוֹט,	אמוט,	hand
16	(עַצְבֵּיהֶם),	(עצביהם),	hand
16	*TVi^y*	*שוח*	crop2
16	*Xy\1-*	*נוח*	crop2
17	(^IDD^)	(יכסוף)	crop2
17	*Hi^s	*His	crop2
17	בְּנֶפֶשׁ	בנפש	hand
18	(^^D)	(סלע)	crop2
18	*7my	*my	hand
18	\*חָסִיד*חָסִיד,	\*חָסִיד*חסיד,	hand
18	haters^	haters,	crop2
18	maybe	may be	hand
18	oftvorthlessness*	of worthlessness*	crop2-dictgate-manual
18	xx^iii.	xxviii	crop2
18	{Mi}ny)*	{Mi}יכחשו)*	crop2-sim
18	וַתִּגְעַשׁ).	ותרעש).	hand
18	חַי)	חי)	hand
21	Kabbah	Rabbah	crop2
22	""כָּאֲרִי)	""כארי)	hand
22	(D\*1S3	(כארים*כארים	crop2
22	(J^TjSt)	(אילת)	crop2
22	(^HIO	(כארי	crop2
22	(wii)	*(אלי)*	crop2
22	D^S),	כרים),	crop2
22	D^lhiD),	כארים),	crop2
22	^"IKS	^"כארי	crop2
22	lion-*	lion.*	crop2
22	m£	me	crop2
22	th^	the	crop2
24	(SlJi/'?	(לשוא	crop2
24	(הוּא;^^),	(הוא),	hand
24	(מִי זֶה מִי),	(מִי זה מי),	hand
24	*(ii^i*	*(נשא*	crop2
24	*HU.^2)*	*נשא)*	crop2
24	*b*	נשא	hand
24	7not	not	crop2
24	K^J;	לשוא,	crop2
24	^&lt;')2J^7	נשא	crop2
24	^&lt;^^^	לשוא	hand
24	^&lt;ii.0; T T	ל	crop2
25	Db'lVp,	מעולם,	crop2
25	עגוים,	עֲנָוִים,	hand
25	רַב),	פשע),	hand
27	(יַאֲמֵץ)	(יאמץ)	hand
31	(מְאֹד;D),	(מאד;D),	hand
32	*TDTl,*	*חסיד,*	crop2
35	"I^D	"סגר	crop2
35	"i^D	"סגר	crop2
