# 引用超出该卷范围，但**印面就是这么印的**——原书自己的笔误或两套编号传统，
# 已逐处核过 1864 影像，不改。闸子按「篇+这一串」放行，串一变就重新报。
# 篇	印面原样	为什么留着
105	Ps. xlviii. 46	印面如此。文意要的是诗 78:46（蝗虫吃尽土产），原书错引
112	Prov. xi. 34	印面如此。箴 11 只有 31 节；文意要的是箴 11:24「有施散的却更增添」
136	1 Chron. xvii. 34	印面如此。代上 17 只有 27 节；文意要的是代上 16:34「你们要称谢耶和华」
64	2 Chron. xxvii. 23	印面如此。代下 27 只有 9 节
71	Isa. liii. 14	印面如此。赛 53 只有 12 节；文意要的是赛 52:14「面貌比别人憔悴」
92	Ps. xl. 21 (20)	印面如此。文意要的是诗 49:21(20)「人在尊贵中不能长久，如同死亡的畜类」
106	Num. xxv. 18, 19	印面如此，**且是对的**：希伯来民数记 25 章有 19 节（19 节＝英文 26:1）
37	Exod. xxi. 37	印面如此，**且是对的**：希伯来出 21:37＝英文 22:1，他两套并写
145	Dan. iii. 33	印面如此，**且是对的**：亚兰文但以理书的分节（3:33＝英文 4:3）
26	（第 5 节无标题）	印面如此：第 4 节标题下连讲 4、5 两节，第 6 节自己说「To the negative professions of the two preceding verses」。不是我们丢了标题
