# 亚历山大诗篇 1-10：按 1864 扫描件页面影像逐条判读（2026-09-14）
# 篇	原 OCR 串	改为	依据
2	*Aiid in his heat	*And in his heat	image-1864
2	*And vow (0) klnr/s,*	*And now (O) kings,*	image-1864
2	suited to yom- present situation	suited to your present situation	image-1864
4	or dii-ect him	or direct him	image-1864
4	*ivUl hear, in wj calUrKj,*	*will hear, in my calling,*	image-1864
4	*unto hbn.*	*unto him.*	image-1864
4	*Lafic and sin not, i. c.*	*Rage and sin not, i. e.*	image-1864
4	Ephesians iv. 2G	Ephesians iv. 26	image-1864
4	*Be ye anrirtj and sin not,*	*Be ye angry and sin not,*	image-1864
4	The English word *rar/e*	The English word *rage*	image-1864
4	the pro- Terbial joy	the proverbial joy	image-1864
4	ij^e sentiment	the sentiment	image-1864
5	*•^railriSia,*	*παῤῥησία,*	image-1864
5	God's vdll	God's will	image-1864
6	engrossed vdth his distresses	engrossed with his distresses	image-1864
6	*shall he all viy enemies.*	*shall be all my enemies.*	image-1864
7	he fled fi-om Absalom	he fled from Absalom	image-1864
7	*God is angi-y every day.*	*God is angry every day.*	image-1864
7	*And on his oum crown	*And on his own crown	image-1864
8	*(u-hat is man that)*	*(what is man that)*	image-1864
8	the feminine of *Gitti*	the feminine of *Gitti,*	image-1864
8	to be made- 'Upon this title is	to be made upon this title is	image-1864
9	trust in God's-power	trust in God's power	image-1864
9	*To the Chief Musician^ labben.*	*To the Chief Musician, Al-muth-labben.*	image-1864
9	one of Da^dd's enemies	one of David's enemies	image-1864
9	appellative denoting/ooZ,	appellative denoting *fool,*	image-1864
9	to mean ybr *Ben,*	to mean *for Ben,*	image-1864
9	*the Jcnowers of thy name,*	*the knowers of thy name,*	image-1864
9	the Lord fi-om Jerusalem	the Lord from Jerusalem	image-1864
9	is of com-se to be condemned	is of course to be condemned	image-1864
10	seek Gx)d in prayer	seek God in prayer	image-1864
10	in his pride ai-e, that God	in his pride are, that God	image-1864
10	*His ivays are firm,*	*His ways are firm,*	image-1864
10	by a plm-al proper	by a plural proper	image-1864
10	*Ai-ise, Jehovah!	*Arise, Jehovah!	image-1864
10	*thou vdlt seek for his wickedness*	*thou wilt seek for his wickedness*	image-1864
10	Thou *vn^t* find nothing	Thou wilt find nothing	image-1864
10	*ai-e nations,*	*are nations,*	image-1864
10	*cEstus* and *cestas,*	*æstus* and *æstas,*	image-1864
10	*oves et loves.*	*oves et boves.*	image-1864
5	(Ps. xxx\'i. 13, cxli. *lQ>),from their plans, i. e.,*	(Ps. xxxvi. 13, cxli. 10), *from their plans, i. e.,*	image-1864
4	The Hebrew word 1^011, derived from IDn,	The Hebrew word חסיד, derived from חסד,	image-1864
9	*humble* and *afflicted iP^y^J* and *Uy^y}))* is not essential	*humble* and *afflicted* (ענוים and עניים) is not essential	image-1864
10	seems to point out ""jy •T as the subject	seems to point out עני as the subject	image-1864
10	The adjective ''jy means afflicted	The adjective עני means afflicted	image-1864
10	The Hebrew word *'TtD,* to which the older writers	The Hebrew word תך, to which the older writers	image-1864
10	The word translated *sufferer (HD/tl* for ^Vh)	The word translated *sufferer* (חלכה for חילך)	image-1864
4	*and know,* be assured,. t^a&lt; *the Lord,* Jehovah, *hath set apart,*	*and know,* be assured, *that the Lord,* Jehovah, *hath set apart,*	image-1864
