# 影像判读未过闸，需人工复核
篇	OCR串	影像读数	二遍	原因	上下文
2	Adhonai	Adonai	?	互证闸：证人/二遍不一致	 clause. *The Lord,* not *Jehovah,* as in ver. 2, but *Adhonai,* the Hebrew word properly denoting *Lord* or *Soverei
2	Mai	Mal.	?	互证闸：证人/二遍不一致	Deut. xiv. 1, 2, xxxii. 6; Isa. lxiii. 16; Hos. xi. 1; Mai. i. 6; Rom ix. 4.) Nor will any explanation of the term
4	o/	of	?	互证闸：证人/二遍不一致	of righteousness,* my righteous God! Compare *my hill* o/" *holiness,* Ps. ii. 6, and *his hill of holiness,* Ps
4	room/or	room for	?	互证闸：证人/二遍不一致	e heretofore experienced, *thou hast widened,* or made room/or *me,* the corresponding figure for relief. All he asks
6	gener^	general	?	互证闸：证人/二遍不一致	* any remembrance of thee. *In Sheol,* the grave, as a gener^ receptacle, here parallel to *death,* and, like it, me
8	ver^e	verse	?	互证闸：证人/二遍不一致	milar to that of the expressions used in the preceding ver^e. <!-- PAGE 48 --> <span class="ax-anchor" id="psalms-8
11	grammatical-	gramma-	?	判词闸：['gramma-'] 不是真词	 and judge the conduct of his creatures. By an equally grammatical-, tical but less natural construction, the whole verse 
11	Mo^t	Most	?	互证闸：证人/二遍不一致	eech transferred from polytheism to the true religion. Mo^t probably, however, it was intended to express the fuln
12	\^i^	ארץ	?	互证闸：证人/二遍不一致	rth,* or earthy particles, it has been objected, that *\^i^* never means earth as a material. Some avoid this diff
12	7w	עליל	?	互证闸：证人/二遍不一致	that they attach a supposititious meaning to the noun *7w)3-* It is therefore explained by some as a variation o
12	tV^	בעל	?	互证闸：证人/二遍不一致	-* It is therefore explained by some as a variation of tV^, lord or master, and the whole clause made to mean, *p
13	^ell-founded	well-founded	?	互证闸：证人/二遍不一致	God, i. e.* one on whom I have a right to call, with a ^ell-founded hope of being heard. See above on Ps. iii. 8 (7).— *En
14	Oy>	יָגֵל	?	互证闸：证人/二遍不一致	 The common version is forbidden by the optative form *Oy>)* of the Hebrew verb, and by the masoretic interpuncti
15	lOiQM	אֶמּוֹט	אֱמוֹט	互证闸：证人/二遍不一致	 all danger. Compare Ps. lv. 23 (22). For the sense of lOiQM, see above, on Ps. x. 6, xiii. 5. 
16	DH''^^^	עַצְבֵּיהֶם	עַצְּבֵיהֶם	互证闸：证人/二遍不一致	o a very similar form, which would mean *their idols* (DH''^^^), as if to suggest that false gods are mere troubles a
16	TVi^y	שׁוּחַ	?	互证闸：证人/二遍不一致	6.—It has been disputed whether *שחת* is derived from *TVi^y* and means a pit, or from שחת and means corruption. Bo
16	Xy\1-	נוּחַ	?	互证闸：证人/二遍不一致	a different sense and gender, as derived from נחת and *Xy\1-* The use of this equivocal expression may have been in
17	l£^3!li	בְּנֶפֶשׁ	בְנַפְשִׁי	互证闸：证人/二遍不一致	fe, called *deadly enemies* in the English version. Or l£^3!li may be construed with the verb: surround me eagerly (w
17	Hi^s	His likeness	His	互证闸：证人/二遍不一致	psalms-17-12"></span><span class="ax-vnum">12.</span> *Hi^s likeness (is) as a lion; he is craving to tear; and as
17	^IDD^	יִכְסוֹף	?	互证闸：证人/二遍不一致	ix refers to the enemy as an ideal person. The future (^IDD^) means that he is just about to feel or gratify the ap
18	occm-s	occurs	?	互证闸：证人/二遍不一致	ow, but am resolved to do so for ever. The verb itself occm-s nowhere else in its primitive form, but often in one o
