chapter	before	after
1	V.	
1	V.	
1	whicfi	which
1	V.	
1	bxutes,	brutes,
1	Septuagmt	Septuagint
1	V.	
1	V.	
1	Rosenmuller	Rosenmüller
1	V.	
1	stroJce.*	stroke.*
1	V.	
1	V.	
1	melon-jield,	melon-field,
1	city'	city
1	Rosenmiiller,	Rosenmüller,
1	V.	
1	V.	
1	V.	
1	V.	
1	V.	
1	Rosenmuller	Rosenmüller
1	Fiirst)	Fürst)
1	V.	
1	V.	
1	*Tour	*your
1	V.	
1	V.	
1	Rosenmuller,	Rosenmüller,
1	V.	
1	V.	
1	V.	
1	•nta	•ita
1	V.	
1	V.	
1	V.	
1	V.	
1	premise	promise
1	V.	
1	V.	
1	V.	
1	V.	
1	ftrst	first
1	V.	
1	ihe	the
1	V.	
1	Kiobel	Knobel
1	V.	
10	V.	
10	efders	elders
10	Bv	By
10	V.	
10	V.	
10	Rosenmiiller)—much	Rosenmüller)—much
10	V.	
10	Rosenmiiller	Rosenmüller
10	th'e	the
10	. V.	
10	Rosenmuller,	Rosenmüller,
10	Rosenmiiller	Rosenmüller
10	V.	
10	V.	
10	V.	
10	says')	says)
10	V.	
10	*Arpadj*	*Arpad*
10	*Shatt	*Shall
10	V.	
10	iheir	their
10	Ifefore	before
10	V.	
10	V.	
10	Jerasalem,	Jerusalem,
10	V.	
10	V.	
10	D^SS	D^as
10	Fiirst	Fürst
10	V.	
10	V.	
10	Rosenmiiller,	Rosenmüller,
10	V.	
10	V.	
10	Rosenmuller	Rosenmüller
10	August!,	Augusti,
10	CarmeT),*	Carmel),*
10	Fiirst).	Fürst).
10	Jield*	field*
10	Jield,*	field,*
10	Coeceius	Cocceius
10	disease.—Jarchj	disease.—Jarchi
10	V.	
10	Dent.	Deut.
10	Rosenmiiller	Rosenmüller
10	Rosenmiiller.	Rosenmüller.
10	Rosenmuller,	Rosenmüller,
10	V.	
10	V.	
10	V.	
10	ouly	only
10	a'nd	and
10	V.	
10	V.	
10	over'	over
10	V.	
10	Rosenmiiller,	Rosenmüller,
10	V.	
10	V.	
10	bsn)	ban)
10	V.	
10	V.	
10	V.	
10	Rosenmuller (oppidurn	Rosenmüller (oppidum
10	*r^ys*	*r^as*
10	V.	
10	Miller	Hiller
10	V.	
10	Rosenmiiller,	Rosenmüller,
10	V.	
10	V.	
10	^ame	^same
10	Rosenmiiller	Rosenmüller
11	V.	
11	Rosenmiiller,	Rosenmüller,
11	V.	
11	V.	
11	Rosenmiiller,	Rosenmüller,
11	V.	
11	V.	
11	V.	
11	V.	
11	V.	
11	V.	
11	Rosenmiiller	Rosenmüller
11	V.	
11	V. 1	1.
11	V.	
11	V.	
11	Epbraimite	Ephraimite
11	Juclah's	Judah's
11	Rosenmuller	Rosenmüller
11	shah	shalt
11	V.	
11	Judab,	Judah,
11	Rosenmiiller,	Rosenmüller,
11	V.	
11	Rosenmiiller	Rosenmüller
11	V.	
12	V.	
12	V.	
12	V.	
12	V.	
12	V.	
12	V.	
13	Rosenmuller	Rosenmüller
13	taunjjng	taunting
13	foresi'ght,	foresight,
13	V.	
13	V.	
13	V.	
13	Rosenmuller	Rosenmüller
13	V.	
13	wray.	way.
13	Rosenmiiller	Rosenmüller
13	V.	
13	V.	
13	V.	
13	V.	
13	render ing	rendering
13	V.	
13	V.	
13	geliet	gehet
13	V.	
13	V.	
13	Rosenmiiller,	Rosenmüller,
13	V.	
13	V.	
13	V.	
13	V.	
13	V.	
13	V.	
13	Amrnianus	Ammianus
13	V.	
13	tht	the
13	wor/i	word/i
13	Juntas	Junius
13	V.	
13	Rosenmiiller	Rosenmüller
13	V.	
13	rinding	finding
13	witb	with
13	V.	
13	(Ewatd)	(Ewald)
14	V.	
14	bs	by
14	V.	
14	Jehovah''s	Jehovah's
14	V.	
14	V.	
14	V.	
14	V.	
14	V.	
14	Rosenmuller	Rosenmüller
14	V.	
14	monies;	montes;
14	Rosenmiiller	Rosenmüller
14	V.	
14	V.	
14	Rosenmuller	Rosenmüller
14	V.	
14	V.	
14	Rosenmiiller	Rosenmüller
14	V.	
14	V.	
14	V.	
14	V.	
14	V.	
14	V.	
14	V.	
14	V.	
14	V.	
14	Rosenmiiller,	Rosenmüller,
14	*Hctores	*lictores
14	Rosenmuller,	Rosenmüller,
14	V.	
14	V.	
14	continnal	continual
14	V.	
14	Rosenmuller	Rosenmüller
14	tha	the
14	V.	
14	V.	
14	V.	
14	V.	
14	V.	
14	*aMcpvl.oi.*	*aMcpvl.of.*
14	Jehorarn	Jehoram
14	Rosenmiiller's	Rosenmüller's
14	Rosenmuller	Rosenmüller
14	V.	
14	V.	
14	compos,*	campos,*
14	Rosenmiiller,	Rosenmüller,
