chapter	token	witness	verdict
1	aTtyM	a	reject
1	iispi		无证据
1	totfi		无证据
1	musset	miisset	reject
1	Nor'dh	nordh	reject
1	personae	perso	reject
1	ibsfe		无证据
1	theTme	the	reject
10	Avhom	whom	reject
10	naoia		无证据
10	instrurmint	instru	reject
10	albrte	alone	reject
10	prcbably	pro	reject
10	Calneh		无证据
10	Qrontes	orontes	reject
10	personae		无证据
10	rpaxs	r	reject
10	oflooking	of	reject
10	rviss		无证据
10	ta'nn		无证据
10	visvip		无证据
10	orshall	or	reject
10	avrav		无证据
10	pecus		无证据
10	IBIDE		无证据
10	iftsa		无证据
10	dwaio		无证据
10	consummatum	consumma	reject
10	jEtti		无证据
10	jEtti		无证据
10	regionem	anam	reject
10	misera	derlein	reject
10	for'a	for	reject
11	sfost		无证据
11	srjrn		无证据
11	JtEsn		无证据
11	feits	isaiah	reject
11	mninx		无证据
11	stB'n		无证据
11	riaig		无证据
11	thfti		无证据
11	lafiid	daftd	reject
11	ixisn		无证据
11	Parthia	par	reject
11	Petrsea		无证据
11	figuraatively		无证据
11	HezeJciah		无证据
11	rviin		无证据
12	siiaj		无证据
12	sttjy		无证据
12	rsTia		无证据
13	fiBiBs		无证据
13	aperite	isaiah	reject
13	VBips		无证据
13	navra		无证据
13	prosperis	pros	reject
13	rranb		无证据
13	constitutae		无证据
13	iBiaa		无证据
13	Melech		无证据
13	Intro	htro	reject
13	crudeltm	crudelem	reject
13	anaToi		无证据
13	zornig	zor	reject
13	universus		无证据
13	Romanus	roma	reject
13	fi'is		无证据
13	PBiat		无证据
13	TIBIK		无证据
13	ihEix		无证据
13	fiten		无证据
13	vfias		无证据
13	Christol	riah	reject
13	wohes		无证据
13	fyeen	been	reject
14	buWith	but	reject
14	btiJE		无证据
14	sri'n		无证据
14	rupes		无证据
14	Hbhle	hohle	reject
14	rsiaa		无证据
14	excisus		无证据
14	Iongum	ion	reject
14	isi'a		无证据
14	ISfte		无证据
14	deridet	deri	reject
14	siMi'an		无证据
14	laajn		无证据
14	antitnesis		无证据
14	lES'i		无证据
14	iriaa		无证据
14	pisia		无证据
15	Hesbdn		无证据
15	Qwpot	t	reject
15	irima	irrnn	reject
15	praematura	praemaiura	reject
15	fibsa		无证据
15	Luitha	lui	reject
15	Ayall		无证据
15	finbb		无证据
16	laran		无证据
16	Stfta		无证据
16	Knobej		无证据
16	iripE		无证据
17	Providentiae	provi	reject
17	Divinae	dentiae	reject
17	Rabbah	rab	reject
17	fiiis		无证据
17	looti	look	reject
17	hiBSa		无证据
17	raits		无证据
17	Evaioi		无证据
17	itisa		无证据
17	historiam		无证据
18	rfjten		无证据
18	aiiaa		无证据
18	Iciki	jciki	reject
19	rvoix		无证据
19	taisSx		无证据
19	lixia	lisa	reject
19	hooJc	hook	reject
19	ttisa		无证据
19	possint	pos	reject
19	extremae		无证据
19	nisnn		无证据
19	mincj	mind	reject
19	FPiii		无证据
19	tfnsx		无证据
2	ftjts	fruits	reject
20	latfi		无证据
21	ariaa		无证据
21	lai'a		无证据
21	ijjia		无证据
21	nsiba		无证据
21	Rosemmjller		无证据
21	jsoJs		无证据
22	sttsa		无证据
22	wsttn		无证据
22	sittJ		无证据
