chapter	from	to	kind
1	ivhich	which	wform
1	ptn		unresolved
1	potiori		unresolved
1	denominatio		unresolved
1	ggnffiaj		unresolved
1	gg		tooshort
1	fiV		unresolved
1	iiraBii		unresolved
1	fy		tooshort
1	whicfi		unresolved
1	bxutes		unresolved
1	Septuagmt		unresolved
1	knoiv	know	rule
1	ovx		unresolved
1	tyvw		unresolved
1	Mai		unresolved
1	filii		unresolved
1	degeneres		unresolved
1	dwrj		unresolved
1	ft		tooshort
1	Qh32		unresolved
1	ytf		unresolved
1	contemtim		unresolved
1	irritaverunt		unresolved
1	ils		unresolved
1	ont		unresolved
1	irrite		unresolved
1	parmepris		unresolved
1	ibrm		unresolved
1	treated	treated	rule
1	oni6		unresolved
1	ivhy	why	wform
1	percutiemini		unresolved
1	Euripides		unresolved
1	Ovid		unresolved
1	vix		unresolved
1	habet		unresolved
1	nobis		unresolved
1	abiit		unresolved
1	morbum		unresolved
1	tumour		unresolved
1	stroJce		unresolved
1	ventum		unresolved
1	Eng		unresolved
1	thn		unresolved
1	vastitate		unresolved
1	hostili		unresolved
1	a'pt		unresolved
1	nt		tooshort
1	jield	field|held	ambiguous
1	veritatis		unresolved
1			tooshort
1	loc		unresolved
1	rni23		unresolved
1	P9		unresolved
1	turris		unresolved
1	custodiae'		unresolved
1	Tingstad		unresolved
1	Comm		unresolved
1	rniis		unresolved
1	rrni'ti		unresolved
1	3		tooshort
1	ic		tooshort
1	advenitis		unresolved
1	appareatis		unresolved
1	conspectu		unresolved
1	fii's	firs	rule
1	fs		tooshort
1	nnjE		unresolved
1	nf		tooshort
1	iispi		unresolved
1	iDif		unresolved
1	ferre		unresolved
1	pravitatem		unresolved
1	vos		unresolved
1	conjungitis		unresolved
1	ic		tooshort
1	ic		tooshort
1	solennes		unresolved
1	indictiones		unresolved
1	potero		unresolved
1	vana		unresolved
1	res		unresolved
1	conventum		unresolved
1	temerarium		unresolved
1	aTaiov		unresolved
1	frustra		unresolved
1	vergeblich		unresolved
1	Fiirst		unresolved
1	odi		unresolved
1	animo		unresolved
1	Dwn		unresolved
1	Christol		unresolved
1	isia		unresolved
1			tooshort
1	facta		unresolved
1	mihi		unresolved
1	superfuerunt		unresolved
1	mihi		unresolved
1	oneris		unresolved
1	incumbunt		unresolved
1	mihi		unresolved
1	oneris		unresolved
1	burthen		unresolved
1	zur		unresolved
