vol	page	chapter	n	suspects
v1	405	23	35	Spain→span France→race Hungary→hungry certa→testa incerta→insert animo→animal neque→nexus etiam→elam prophetiam→prophetic allegorice→allegorical Scriptura→scripture indicet→indicate debere→desire cernere→centre imaginem→imagine Scriptura→scripture tamen→then illius→allies typum→type figuram→figure esse→less nisi→isai conformitas→conformity comparatione→comparative demonstratur→demonstrate unpoetical→poetical harbour→labour Hensler→hender Cyprus→cyrus Citium→cities commeatus→comments terra→ezra Cittim→victim masoreiic→masoretic Cyprus→cyrus
v1	353	19	29	Tanis→this ixsn→iron statesmen→statement certe→were fuit→must Belgio→begin Eodem→mode anno→into primum→prima civile→civil religionis→religion causa→case duce→much hinc→sins fuit→must regina→rezin religionis→religion sequenti→sequence anno→into Martii→margin Tsoan→than possint→point nunc→none etiam→elam sciant→cant sciant→cant indicent→innocent wenn→were wissen→wise
v1	304	15	27	IKIE→like irima→crime vectes→verses Eglath→eglaim Eglath→eglaim Eglah→elam Eglath→eglaim Egels→eyes Eglah→elam Eglah→elam horon→soon Eglah→elam Ejlun→ejus Eglath→eglaim postea→post antea→ants praematura→premature fibsa→firs nbsn→aben nbsB→ness TIQO→time Luitha→luhith nbSB→ness horon→soon iiss→sins Pilpel→piel isHs→isai
v1	212	10	26	Geba→nebo Geba→nebo Jeba→jews Geba→nebo Gibeah→sibmah Geba→nebo Geba→nebo Gaba→data sedes→sees Geba→nebo Ajath→hath Migron→iron Geba→nebo Ramah→rams Gibeah→sibmah Ramah→rams Gibeah→sibmah Jeba→jews Nablus→paulus Ramah→rams Ramah→rams Geba→nebo Ramah→rams Gibeah→sibmah Ramah→rams Gibeah→sibmah
v1	445	26	26	affaires→affairs testimonio→testimony liberum→liberty Prophetae→prophet mentern→enter Verum→very quidem→quid Deum→seem agere→were nobis→ibis recte→race homines→dominus esse→less illius→allies Spiritu→spirit simpliciter→simplicity docet→does Propheta→prophet omnia→omit bona→both quibus→quis rnanu→rank adeptos→adopts esse→less finem→wine plena→plan
v1	650	39	25	b'nb→bond Theasurus→thesaurus contends→content naiv→pain enim→evil poena→poet aliud→loud tamen→then praesentem→presented debuit→deut certe→were seculo→secure servire→serve praesens→present atque→true instat→insert requirit→require Ipov→upon yala→data omnes→ones mortui→mortal Jcen→then IESTI→isai Icall→fall JSVW→jive
v1	163	9	24	wbiu→ibis komme→some isto→into tempore→temple MNSp→must durabit→durable annos→amos modo→more initio→into finem→wine vitae→vice Domini→doing faciet→fact ardens→dens erga→ezra pios→sins insunt→sunt dabit→wait nobis→ibis servabit→servant bonum→bond principem→principal nmsb→ness Levita→levites
v1	272	14	23	iE'i→isai insg→sins VUJE→vulg ruht→must rastet→rate Erde→true bricht→rich Jubel→cube Jamne→same licet→like mihi→mine floa→from clamour→labour Ipsi→isai voces→goes sidera→idea Intonsi→intense ipsae→isai rupes→rule Ipsa→idea usus→thus ascendet→ascend Apocal→local
v1	568	34	22	thoes→this Zihim→sinim Ijim→item jicas→micah supp'ose→suppose spectre→secure pilosus→pious Seir→sees Horites→rites nocturna→nocturnal spectre→secure paid→page rrent→ment spectres→species spectres→species jections→mentions spectre→secure spectre→secure spectre→secure spectre→secure spectre→secure beliebt→belief
v1	108	7	22	Shalmeneser→shalmaneser Esar→year haddon→pardon Shalmeneser→shalmaneser Esar→year haddon→pardon Shalmeneser→shalmaneser Esar→year haddon→pardon Esar→year haddon→pardon Esar→year haddon→pardon suppp→super sition→sion tnaa→that traa→true lirs→sins schbn→scorn ganz→gone nicht→rich nicht→rich
