vol	page	chapters	suspects	examples
v1	405	23	71	Ven Spain France Hungary hariolationes hae sequamur certa
v1	304	15	58	IKIE psf avrfi irima vectes mtt ia Eglath
v1	353	19	57	counsellors Tanis ixsn counsellors counsellors counsellors statesmen counsellors
v1	650	39	56	oj b'nb anddovTas eunuchi pmm London nutriti Theasurus
v1	357	19	54	Heliopolis Memphis Bubastus Alexandria Memphis Heliopolis Diospolis Leontopolis
v1	33	2,introduction	51	Oecolampadius Musculus nhoiov alaGaris Schiffe im Meer oceani
v2	487	66	51	rvisan bN nisaa tov oiv rpna tem undertaken
v2	272	53	49	itinere eo laboravit ia aia nx insna rtx
v1	41	3,introduction	48	counsellor honorabilem vultu Mai ehrliche Leute counsellor counsellor
v1	272	14	47	iE'i insg VUJE ruht rastet Erde bricht Jubel
v1	35	2,introduction	46	terly marg Hk Hn Aug fcs Maur bxn
v1	163	9	45	Rosenm ller wbiu KD sedebit komme isto tempore
v1	581	35	44	avvdQog quae erat arida fata Kimmung Wasserschein Sandmeer
v1	199	10	43	sume tna ttna rst harvestfields ITSD itDn Musculus
v1	246	13	43	heroes exulters Lehrg wp ttJ ITC VBips exulters
v1	274	14	43	spectres bi'sia sepulchre Holle Hbhle Anglo helan Schattenreich
v1	37	2,introduction	43	Hk Hn Bs Kn Hk Bs nBh axiapds
v1	445	26	43	ns nos affaires hoc testimonio usi evertendum liberum
v2	106	44	43	nbis Xenophon's Cyropaedia Gyndes Thatof hbsia rtett Cambyses
v1	11	1	42	nnjE tr nf iispi iDif ferre pravitatem quae
v1	337	17	41	nsn gegen zu Zeit firtlba Todesschrecken nn iM
v1	108	7	41	Remaliah's Tiglath Esar haddon ses Stabat Cowper's Tiglath
v1	212	10	40	Michmash Geba Gcba Geba Jeba Michmash Geba Gibeah
v1	213	10	40	Gallim Gallim Laishah Anathoth Gallim neighbourhood Gibeah Stadt
v1	339	18	40	Tirhakah Ethiopico sba crx nt Qvyav Abulwalid Vogt
v1	568	34	40	thoes Raubthiere Zihim Ijim Sylvani Faunis jicas supp'ose
v1	584	35	39	pn Kb nbibo xb Rosenm ller aggerata exaltata
v2	269	53	39	Martini tumulum sepulchralem violentis nn'tea nsa Kennicott Jubb
v1	188	10	38	rra pfyaloi fiuaifaTs flaadsie jWtAeW sLwwJls albrte Calno
v1	54	3,introduction	38	rjn dein Pobel homines Fr tes viri deine
v1	258	13	37	Madai Thucydides Plutarch rn Japhet Dejoces Phraortes Cyaxares
v2	377	60	37	Nabataei Petraea Strabo Diodorus Siculus Tisnb Visn ysv
v1	289	14	36	nepos nm tm isia iaW consanguineum ovopa xal
v1	40	3,introduction	36	yfyavta xal ia vovia Hn ii'aa clarum ordinaryrank
v1	508	30	36	aon izrsirt fl tixa fc ia saJce OQO
v1	585	35	36	yns rvnn bestia reissendes violenta violenta ferarum ein
v2	37	41,later-introduction	36	vpeit ol TTOTS ovres laxQav tyzvt'j sx bsx
v1	15	1,introduction	35	wollt ihr gehorchen sav IJTS xal siaaxov rjis
v1	297	14	35	miseriis rra nn JHJT personae rran Ashdod aittj
v1	84	5	35	qn I's riao ite Eng iis Jn px
v1	228	11	34	ttjrt iznfci thfti iah lafiid Ir nj'o uj
v1	252	13	34	ntax immanitas grausamer ITSX Crudelem vocat merito sed
v1	408	23	33	iVrn IIUXD utfama Egypto commoveret animos dolebunt famam
v1	58	4,introduction	33	confer rnrnn Hn Bs Hn unpoetical Hk Hn
v1	95	6	33	Deus praecipit judicialiter agit criminaliter propheta ministerialiter' impinguando
v1	129	7	33	iim nrs QSa irnisiu novacula smce tne ofl
v1	259	13	32	ias ri mabaa Armenia Realworterbuch tsn inclyta superbia
v2	140	47	32	saidst downfal Curlius nihil wbis corruptius moribus irritandas
v2	265	53	32	exactus exigebatur pocna nss respondeo Der vx fc
v1	14	1,preface	31	inno Musculus psn gvaaGfts ttdixovpsvov subvenite oppresso corruptum
v1	309	15	31	ofjhe DWS bfis Rabcnbach Ravenbrook Wady Ahsa Burckhardt
v1	26	2,introduction	31	meantime certa placidos curvavit usus Agricolae nunc militis
v1	169	9	31	selfsecurity lEStb zu Erkentniss komme QI sein ganzes
v1	279	14	30	isi'a ISfte ista itt oitn jVi Lightfoot sitteth
v1	496	29	30	Nihil consolationem pertineat unsat isfied Ac velut somnis
v1	43	3,introduction	30	Bs insolescet Fr portera arrogamment rst sttirmen lossturmen
v1	49	3,introduction	30	Hk Hn Hn vipylcp iQaxfto rvhjslfla mentientes oculis
v1	60	4,introduction	30	Bs Hn Kn Hk Hk paa dwellingplace jiaa
v2	437	64	30	Rosenm ller Poole's incidas offenderes ii'Ba sirssi bten
v1	27	2,introduction	29	Deyling Obs Sacr ini QlJIse Eng Hendew dTp
v1	369	20	29	Ashdod Sargon Sargon Ashdod Ashdod Psammetichus Ashdod Esdud
v1	473	28	29	rvnos Rosenm ller pluralis majestaticus Askelon can't iTisiisa
v1	46	3	29	habita hominum ihr Ansehn der sn probatio adspectus
v2	345	58	29	jttJBJ pnb yvtfjs Sfi snn ttJsa deinen Bissen
v2	492	66	29	Lud cs jbs gentcs Africam Philae Lud oi
v1	151	8	29	qwB rrnjE as'a arctationis xoro py SiUVrm angustia
v1	160	9	29	Counsellor Cicero rempublicam universam vestris sustinetis sedet mrr
v1	53	3,introduction	28	odour casa Hk laceratio lacerum ein Fetzen oivi
v1	106	7	28	Tabeal Tabeel fissipj suscitemus aufwecken pfcft ysg Schroeder
