garbage	reading	conf	status
Isend,	I send	85	applied
oflooking	of looking	97	applied
(orshall	(or shall	97	applied
iofeet.	to feet	95	applied
rnanu	manu	96	notfound
(ululd),	(ulula)	91	applied
levah	Ivvah	89	applied
ofthee),	of thee)	97	applied
Curlius	Curtius	92	applied
Scripiura	Scriptura	97	applied
allof	all of	97	notfound
ofage	of age	96	applied
eornm	eorum	86	applied
betne	be the	96	applied
trostef)	trostet)	90	applied
flics,	flies	86	notfound
Immanucl,	Immanuel	93	notfound
fyeen	been	96	notfound
monies	montes	92	notfound
looti)	look)	97	notfound
Iciki.	kiki	93	notfound
masoreiic	masoretic	92	notfound
Iceri,	keri	93	notfound
firel	fire?	95	notfound
monies,	montes	92	notfound
signl	sign?	88	notfound
feeep	keep	95	notfound
monies	montes	93	notfound
vialls	walls	97	notfound
talte	take	97	notfound
proferi),	profert)	92	notfound
