vol	scan_page	garbage	heb	heb_conf	heb_n	grc	grc_conf	grc_n	eng	eng_conf
v1	91	totfi	החדפף	30	5	ἼΦΙΓΙ	38	5	TDI	8
v1	118	ia^vovia),	1000976(	8	0	ἰσχύονταλν	41	10	loyvorte)	35
v1	125	sianb	לרוע	36	4	Φ)15	0	1	pyind	0
v1	131	rurps		0	0		0	0		0
v1	152	1'iafia	כפטו	55	4	85	51	0	as) a	36
v1	208	(pspia&copsvcp),	) ])581000008960(	22	0	(μεμισϑωμένῳ)	81	11	(uEntoOwuero)	0
v1	229	sibax—<	+.---אפלה	26	4	πῖϑν.--. ς	0	5	mbpr—_<	31
v1	254	•mustta,	מאשרר	71	5	“ (Ἅ	1	1	WN	44
v1	271	^rviss	עשיתר	38	5	ΩΝ	51	2	we	45
v1	284	dwaio-	01%010-	67	0	δικαιο-	85	6	Oumato-	33
v1	297	•sfost)	סכט7ר	0	4	βρῈ699	0	3	‘Pt>D	5
v1	304	y.riaig	209	49	0	χτισις	68	6	Y4TLGIS	0
v1	326	rranb^ybr	+ץס] למלחמה	56	8	ΠΩ ΚὉΥ	13	5	man>ad for	50
v1	335	fiten	תשגכנה	22	6	ἜΡΕΡ οα	0	6	sar	20
v1	376	•pisia	מזר"שד'רף	0	7	ἼΒΡΙΞ Ξ	21	6	ya	19
v1	384	old.—fibsa	מעלה---, 010	67	4	αὐεὶ..--- Γι	7	6	old.—n>>	47
v1	388	finbb"1	רללתה	85	5	ἜΠΕΣΕΝ	26	6	mms	0
v1	410	fiati,	חמה	33	3	ΓΤ	3	2	man	94
v1	430	ttisa		0	0		0	0		0
v1	433	nisnn	המעות	47	5	ὈΣῸΠ	5	4	nissan	2
v1	444	baniu11	ישראל	65	5	ὌΝ"	2	2	baw	10
v1	451	^siton	הזשגפר	44	6	ΒΗΘ	32	3	spam	42
v1	469	aiffl-iBn	הפרשירם	39	7	ΛΒ Π	0	3	Pawan	25
v1	469	rnirn,	חודה	0	4	πη	35	2	TIT	52
v1	472	msiaj,	נמנת	20	4	ΤΉ 22	0	2	mi7a3	10
v1	486	niesa	כאשי	60	4	αν Προ	18	5	“WND	27
v1	508	Frato		0	0		0	0		0
v1	526	avaaT^covai).	)0/0071 60001(	22	0	ἀναστήσουσι)	76	11	QV AOTHOOVOL)	0
v1	527	ttinb	לח	65	2	Ὁ	47	1	tim	50
v1	541	biniz^	יְשַרְאָל	33	9	25	23	0	ayn	0
v1	549	oivon).y%	005	62	0	οἰνοπληξ	85	8	owondns	0
v1	559	ibitis	פפשלז	0	5	δὼ 59	20	2	uD	16
v1	585	*Awaig	ָו6טע4"	7	4	"Αγυσις	0	6	"Arvo	37
v1	679	sattr.	רטומיע	57	6	μος ΟΝ	0	5	paw	60
v1	707	(aa&evsia	ו	16	1	(ἀσϑένεια	90	8	(aodEveve	34
v1	724	satthi	ולמע	2	4	ΦῺ "ἢ	16	3	san	0
v2	49	natti*	מיעונה	47	6	ΓΝ Ὁ	27	3	mop	20
v2	65	plural.—rftis	ופָה---. [פעט1[ין	14	9	Ρ]ΌΓᾺ].---ἰπϑὴ5	0	8	plural.—no12	0
v2	70	isahs		0	0		0	0		0
v2	101	thett"b	ל ה 16	48	2	{πὸ π Ὁ	38	4	then}	13
v2	127	x-'Stiari	הפווצדא	0	7	ΝΠ ΝΠ	0	4	NU TIM	31
v2	140	taixa	ד	40	1	ἘΠΝ	62	3	Sars	35
v2	220	rvirn	יהוה	54	4	πα	25	2	min	66
v2	307	generation.—bbina	מחולל---, ת074110 0	33	6	ΘΟΠΘΙΆΓΙΟΙ.- 9 ΠῺ	43	12	veneration, —22572	4
v2	323	(anbis>	ענת )	40	3	(- 3	7	0	(ents	4
v2	345	(pinsp	קכטוק )	42	5	(ρυρογ	0	5	(prop	15
v2	393	rvito?,	₪ ה	41	1	νι}	0	2	ey	54
v2	394	iornn	התצנג	41	5	ΔΌΣ	46	3	acorns	0
v2	399	—rnsit	זורה--	55	4	- πη	55	2	—53	13
v2	442	D^feian	ראשַנִים	0	8	ὈΠΣΩΝ"	0	5	EN	0
v2	466	avioi^.	70	68	0	αυτους	78	6	MUTOVS	0
v2	473	glory.—Frana	בְּהמֶה---. ₪007	14	7	Φίοτν.----ι Ὁ 3	16	7	glory.—r73	0
v2	520	nbria	ילת	0	3	πΣ τσ Ὁ	17	5	mosey	33
