0	2	KEEP	影像印的就是 Adhonai，一遍提的 Adonai 是错的
1	2	Mai. i. 6	Mal. i. 6
2	4	*my hill* o/" *holiness,*	*my hill of holiness,*
3	4	made room/or *me,*	made room *for me,*
4	6	as a gener^ receptacle	as a general receptacle
5	11	equally grammatical-, tical but less natural	equally grammatical but less natural
6	11	Mo^t probably	Most probably
7	12	that *\^i^* never means	that ארץ never means
8	12	to the noun *7w)3-*	to the noun עליל.
9	12	a variation of tV^, lord	a variation of בעל, lord
10	13	a ^ell-founded hope	a well-founded hope
11	14	the optative form *Oy>)* of	the optative form (יגל) of
12	16	is derived from *TVi^y* and means	is derived from שוח, and means
13	16	from נחת and *Xy\1-* The use	from נחת and נוח. The use
14	17	*Hi^s likeness	*His likeness
15	17	The future (^IDD^) means	The future (יכסוף) means
16	18	*rock* (^^D) of the first	*rock* (סלע) of the first
17	18	*floods oftvorthlessness*	*floods of worthlessness*
18	18	my haters^ because they are	my haters, because they are
18b	18	*my enemy strong,* maybe understood	*my enemy strong,* may be understood
20	18	to *lie {Mi}ny)* is used	to *lie* (יכחשו) is used
21	18	Ps. xx^iii. 8	Ps. xxviii. 8
22	21	Ammonitish king of Kabbah	Ammonitish king of Rabbah
23	22	*making m£ trust,*	*making me trust,*
24	22	past tense of th^ English verb	past tense of the English verb
25	22	altogether (^HIO for D^lhiD)	altogether (כארי for כארים)
27	22	participle (D\*1S3 for D^S)	participle (כארים for כרים)
