篇	我们	改成	说明
2	"a	a	5 个锚一致
4	of"	of	5 个锚一致
4	2"	2	6 个锚一致
5	uttered,"	uttered,"	证人印的就是这样
5	"enders		几个锚读数不一致：['offenders,', 'so']
6	bod}"	body,	剥掉引号后不一致，不采信
7	"While	While	4 个锚一致
10	thoughts."	This	剥掉引号后不一致，不采信
12	answer"	answer	5 个锚一致
12	translated, "	translated,	7 个锚一致
12	him,"	him,	5 个锚一致
12	him,"— "	him,	剥掉引号后不一致，不采信
12	puff"	pUff'	剥掉引号后不一致，不采信
12	puff","	pUff'	剥掉引号后不一致，不采信
12	puff","—"	pUff'	剥掉引号后不一致，不采信
12	away,"		几个锚读数不一致：["away,'", 'most']
14	"well	well	4 个锚一致
16	"their	their	5 个锚一致
16	hasten,"	hasten	剥掉引号后不一致，不采信
16	mouth."	mouth."	证人印的就是这样
16	verse. "	verse.	2 个锚一致
16	destroyer."	destroyer.'	剥掉引号后不一致，不采信
17	me."	me.'	剥掉引号后不一致，不采信
17	"from	"from	证人印的就是这样
17	world."	world."	证人印的就是这样
17	world." "	world.	7 个锚一致
18	"it	it	3 个锚一致
18	word (!"		几个锚读数不一致：['1', 'word']
18	"wished	wished	5 个锚一致
18	emphatic. "	emphatic.	2 个锚一致
18	candle."	candle.'	剥掉引号后不一致，不采信
20	acts. "	acts.	4 个锚一致
20	7^"	bin)	剥掉引号后不一致，不采信
20	translation, "	translation,	8 个锚一致
20	banner."	banner	剥掉引号后不一致，不采信
22	part. "	part.	7 个锚一致
22	deserted? "	deserted?'	剥掉引号后不一致，不采信
22	strength.* "	strength.	剥掉引号后不一致，不采信
22	extremity?"	extremity	剥掉引号后不一致，不采信
22	constructions. "	structions.	剥掉引号后不一致，不采信
22	roaring,"		几个锚读数不一致：['arms,', 'from']
22	roaring?"	V	剥掉引号后不一致，不采信
22	affirmation: "	affirmation	剥掉引号后不一致，不采信
22	help,"	help,'	剥掉引号后不一致，不采信
22	sentence. "	sentence.	4 个锚一致
22	roaring? "	roaring	剥掉引号后不一致，不采信
22	clause. "	clause.	4 个锚一致
22	Israel,"		几个锚读数不一致：["Israel,'", 'i.']
22	Israel," "		几个锚读数不一致：["Israel,'", 'i.']
22	thereof "		几个锚读数不一致：['is', 'thereof']
22	off"	off	5 个锚一致
25	"1	while	剥掉引号后不一致，不采信
25	the"	the	2 个锚一致
28	"not	not	2 个锚一致
32	the "		几个锚读数不一致：['PSALM', 'the']
32	experience. "		几个锚读数不一致：['Ps.', 'c', 'experience.']
32	delivered."	delivered.'	剥掉引号后不一致，不采信
34	being "		几个锚读数不一致：['being', 'i.']
35	chaff"	chaff	7 个锚一致
37	"1	1	2 个锚一致
37	Israel. "	Israel.	1 个锚一致
37	Israel. "•"	Israel.	剥掉引号后不一致，不采信
37	rule."	rule."	证人印的就是这样
38	"While	While	6 个锚一致
38	he "	he	7 个锚一致
38	peace"	peace	3 个锚一致
38	answer"	answer"	证人印的就是这样
39	"ers	suffers	剥掉引号后不一致，不采信
41	mean "	mean	3 个锚一致
41	mean ""	mean	3 个锚一致
41	health."	health.'	剥掉引号后不一致，不采信
41	malice. "	malice.	6 个锚一致
43	"1		几个锚读数不一致：['harp', 'piSS),']
45	and"	and	6 个锚一致
45	8), "	8),	5 个锚一致
45	wisdom."	wisdom."	证人印的就是这样
45	whom "	whom	8 个锚一致
45	mouth"	mouth."	剥掉引号后不一致，不采信
51	confession, "	confession,	2 个锚一致
51	settled"	settled)	剥掉引号后不一致，不采信
53	"ID	iD	剥掉引号后不一致，不采信
57	"saints	saints.	剥掉引号后不一致，不采信
58	off"	off,	剥掉引号后不一致，不采信
58	off"	off,	剥掉引号后不一致，不采信
59	night"	night'	剥掉引号后不一致，不采信
59	"though	though	6 个锚一致
59	night."	night.'	剥掉引号后不一致，不采信
69	said, "	1	剥掉引号后不一致，不采信
69	"is	is	7 个锚一致
69	nevertheless,"	nevertheless'	剥掉引号后不一致，不采信
72	"earth	earth.	剥掉引号后不一致，不采信
74	"Why	Why	3 个锚一致
74	clause. "		几个锚读数不一致：['clause.', 'deliver']
74	smoking? "	smoking	剥掉引号后不一致，不采信
74	staff"	staff,	剥掉引号后不一致，不采信
74	"liii	liii.	剥掉引号后不一致，不采信
77	himself"	himself,	剥掉引号后不一致，不采信
78	"Wonder	Wonder	2 个锚一致
78	off"	off	5 个锚一致
81	feast, \*"		几个锚读数不一致：['feast,', 'i.']
81	"people	people	2 个锚一致
84	Hi)"	ftp.)	剥掉引号后不一致，不采信
87	me, "		几个锚读数不一致：['i.', 'me,']
88	"st		几个锚读数不一致：['clause', 'first']
89	"e	the	剥掉引号后不一致，不采信
89	understood. "		几个锚读数不一致：['l', 'understood.']
89	suffering? "		几个锚读数不一致：['Or,', 'suffering']
89	Or, "		几个锚读数不一致：['Or,', 'l']
89	"What	What	2 个锚一致
90	"7		几个锚读数不一致：['3?)', 'J']
90	"t		几个锚读数不一致：['not', 'that']
90	object. "	object.	3 个锚一致
90	"Who	Who	3 个锚一致
90	anger?"	anger	剥掉引号后不一致，不采信
90	anger?" "	anger	剥掉引号后不一致，不采信
90	anger)."	anger.)'	剥掉引号后不一致，不采信
90	"In	In	6 个锚一致
90	mortality."		证人语料里找不到这段话
90	suppose, "	suppose,	6 个锚一致
90	wisdom,"	wisdom,'	剥掉引号后不一致，不采信
90	"we	we	6 个锚一致
90	wisdom,"	wisdom,'	剥掉引号后不一致，不采信
99	"viii	viii.	剥掉引号后不一致，不采信
105	live."	live."	证人印的就是这样
107	"ly		几个锚读数不一致：['5)', 'literally']
107	time, "		几个锚读数不一致：['i.', 'time,']
110	priestly"	priestly	5 个锚一致
110	a "	a	2 个锚一致
110	priests "		几个锚读数不一致：['engendered', 'priests"']
118	off"	off	7 个锚一致
119	verb ("		几个锚读数不一致：['t)', 'verb']
120	The"	The	4 个锚一致
120	"What	What	7 个锚一致
126	when "	when	4 个锚一致
126	joy "	joy"	证人印的就是这样
126	16), "	16),	7 个锚一致
126	Israel "	Israel"	证人印的就是这样
128	conjunction ("	conjunction	剥掉引号后不一致，不采信
132	7/"		几个锚读数不一致：['34.)', 'If']
134	"We	"We	证人印的就是这样
134	last "	last	7 个锚一致
134	ascents."	ascents."	证人印的就是这样
138	"With	With	1 个锚一致
139	"1111	D	剥掉引号后不一致，不采信
141	"When	When	5 个锚一致
148	"Not	Not	6 个锚一致
