篇	我们	证人	上下文
105	peoples'	peoples	/span> *And gave to them nations' lands, and peoples' labour they inherit.* The prominent ide
119	hy	by	ss="ax-vnum">133. *My steps establish hy thy word, and let not any iniquity rule
119	synonym	synonyme	is not a passive in Hebrew, but a less usual synonym of *(יָרֵא) to fear,* correctly paraphr
139	lv	Iv	guidance and support, in Ps. xviii. 17 (16), lv. 7-9 (6–8), v. 9 (8), xxiii. 3, xxvii. 
14	Lords	Lord's	oretic interpunction, which connects *in the Lords returning, dc,* not with what follows a
140	versions	version	cted on others, well expressed in the common versions, *mischiefs.* Another construction of t
140	does'	does	under their lips, Selah.* Not *as a serpent (does'),* but (spiteful or venomous) *as a ser
16	form	forms	preme affection. The verb מהר in its derived form means to *hasten,* and is so translated
22	mD	m	st be borrowed from a cognate root ("113 for mD); an accumulation of grammatical and le
27	they'	they	 adversaries and my enemies to me,* (it is) *they'(that) have stumbled and fallen.* Even i
35	ones	one's	cularly mentioned. To *humble the soul* (or *ones self),* or as some explain it, to *mort
37	how	bow	n it. See above, on Ps. vii. 13 (12).—*Their how,* often coupled with the sword, both in
45	ones'	ones	 the Sons of Korah. Maschil A song of loved (ones').* The unusual accumulation of descript
45	he	be	 *With* (or *on) variegated cloths shall she he conducted to the king; virgins behind h
48	hy	thy	f *(i. e.* within) *thy temple,* literally *(hy palace,* a term applied both to the tab
52	sa	so	e had said " How can one who might have been sa eminent in well-doing, glory in his sha
58	possible'	possible	thing scarcely credible. Can it be so? is it possible'? are you really silent, you whose very 
64	if	it	an> *And all men fear, and pronounce (if) God's doing, and his work they underst
72	rostrate	prostrate	/span> *And to him shall all kings how (or ])rostrate themselves), all nations shall serve hi
92	la	lo	/span> *For lo, thine enemies, Jehovah*—*for la, thine enemies shall perish; dispersed 
