0	4	Exod.xix.	Exod. xix.
1	10	æstus	?
2	10	æstas	?
3	14	ver..1-3	ver. 1-3
4	17	^As	(As)
5	18	are-	are.
6	18	le	?
7	19	do^on	down
8	22	three-	three
9	24	lxxx.5	OK
10	27	-he	it, he
11	31	faith-	OK
12	34	m.e.	me.
14	45	dignity-	?
15	48	mizmôr	?
16	48	shîr	OK
17	53	liii.-	?
18	56	are^	(are)
19	58	ba-	OK
20	58	ex->	ex-
21	68	xxii.-30	xxii. 30
22	69	m.e	me
23	69	D7li^	שִׁלֻּם,
24	69	u>^	שָׁלֵם,
25	69	D^li^	שִׁלֻּם),
27	76	m.ore	more
28	78	of-	of
29	81	thyself.-	thyself.
30	82	Deut.^xxv.	Deut. xxv.
31	83	mizmôr	OK
32	83	shîr	OK
33	83	w^ord	word
34	83	/s	(is)
35	85	Glory_has	?
36	87	w^as	was
37	89	heavens^	heavens—
38	92	-for	for
39	102	præterita	prœterita
40	105	xv.-16	xv. 16
41	106	him-	him,
42	107	w^ord	word
43	109	praise^	praise,
44	109	guilty^	guilty;
45	110	-people.	people.
46	110	præteritum	præte-ritum
47	112	righteous^	righteous-
48	113	-from	from
49	115	worship-	OK
50	116	-for	for
51	118	-for	for
52	118	mercy.^	mercy.
53	118	Ps.xxx.	Ps. xxx.
54	119	con-	OK
55	119	of-	of.
56	119	-for	for
57	119	-for	—for
58	119	sam.e	same
59	125	fa.te	fate
60	128	-for	for
61	136	-for	—for
62	136	-for	—for
63	136	-for	—for
64	136	-for	—for
65	136	-for	—for
66	139	plea-	OK
67	139	fœtus.	OK
68	142	\art	(art)
69	148	in.antithesis	in antithesis
70	149	grace-	grace.
