篇	我们	证人	说明
2	\will	will	7 个锚一致
2	declare^	declare,	4 个锚一致
4	Exod.xix.	Ex. xix.	字母对不上，不采信
8	Jehovah^	Jehovah,	4 个锚一致
10	^of	of	3 个锚一致
10	æstus	cestus	字母对不上，不采信
10	æstas	cestas	字母对不上，不采信
12	are^	are)	6 个锚一致
12	poor^	poor,	5 个锚一致
12	the~	the	2 个锚一致
14	ver..1-3	vs. 1—3	字母对不上，不采信
16	their^	their,	3 个锚一致
16	yea^	yea,	5 个锚一致
16	below.^	below.	1 个锚一致
17	^As		几个锚读数不一致：['As)', 'last', 'violent']
18	are-	are	留给影像：带连字符/破折号，可能是 1864 的引号
18	le		几个锚读数不一致：['le', 'vive']
19	do^on		几个锚读数不一致：['down to)', 'or down']
19	xvii.28.	xvii. 28.	4 个锚一致
22	three-	three	留给影像：带连字符/破折号，可能是 1864 的引号
22	^enthroned	enthroned	4 个锚一致
24	lxxx.5	Ixxx. 5	字母对不上，不采信
27	-he	he	留给影像：带连字符/破折号，可能是 1864 的引号
28	xxii=	xxii.	3 个锚一致
29	&See	See	4 个锚一致
30	Ps.iv.	Ps. iv.	5 个锚一致
31	Zech.xi.	Zech. xi.	4 个锚一致
31	faith-	faith	留给影像：带连字符/破折号，可能是 1864 的引号
32	future^	future	6 个锚一致
34	m.e.		几个锚读数不一致：['delivered me.', 'me. He']
34	^doctrine	doctrine	2 个锚一致
35	^in	in	6 个锚一致
35	dark^	dark	5 个锚一致
35	phrase^	phrase,	3 个锚一致
35	|but	but	5 个锚一致
35	secretly^	secretly,	5 个锚一致
37	instead.of	instead of	8 个锚一致
37	satisfied^	satisfied,	4 个锚一致
38	0^^&lt	E^Ti	字母对不上，不采信
39	complaint^	complaint,	6 个锚一致
40	declare^	declare,	2 个锚一致
40	rites^	rites.	8 个锚一致
40	Jehovah^	Jehovah	5 个锚一致
41	thee^	thee,	5 个锚一致
41	bounty^	bounty,	6 个锚一致
41	this^	this	7 个锚一致
41	firm»?	firm	6 个锚一致
45	dignity-	dignity.	留给影像：带连字符/破折号，可能是 1864 的引号
45	xliii.4	xliii. 4	1 个锚一致
45	iii.1	iii. 1	4 个锚一致
45	desire^	desire,	2 个锚一致
46	foam^	foam,	4 个锚一致
46	^the	the	3 个锚一致
48	mizmôr	mizmor) is	字母对不上，不采信
48	shîr		几个锚读数不一致：['shir), which', 'song (shir),']
50	applied.to	applied to	6 个锚一致
51	in^	in	3 个锚一致
53	liii.-	liii	留给影像：带连字符/破折号，可能是 1864 的引号
56	are^		几个锚读数不一致：['LVi.', 'are)']
56	me»	me,	5 个锚一致
58	ba-		几个锚读数不一致：['Db', 'potter.']
58	ex->	expressed	字母对不上，不采信
59	God/	God	5 个锚一致
61	Hear^	Hear,	7 个锚一致
62	To.pour	To pour	3 个锚一致
62	%unto	unto	6 个锚一致
64	sharpened^	sharpened,	7 个锚一致
64	fear^	fear,	4 个锚一致
65	^Soften	Soften	7 个锚一致
66	praise^	praise.	5 个锚一致
66	^constantly	constantly	2 个锚一致
67	Psalm^	Psalm,	1 个锚一致
68	mentioned^	mentioned	6 个锚一致
68	xxii.-30	xxii. 30	留给影像：带连字符/破折号，可能是 1864 的引号
69	m.e		几个锚读数不一致：['me, imagine', 'of me,']
69	D7li^	tibiD fclblp to	字母对不上，不采信
