篇	原	改成	依据
106	8. *Happy the keepers of judgment	3. *Happy the keepers of judgment	节号序列断裂 + 该节经文内容
106	81. *And it was reckoned to him	31. *And it was reckoned to him	节号序列断裂 + 该节经文内容
106	85. *And they mixed themselves	35. *And they mixed themselves	节号序列断裂 + 该节经文内容
107	8. *And from the lands has gathered	3. *And from the lands has gathered	节号序列断裂 + 该节经文内容
107	88. *And he has blessed them	38. *And he has blessed them	节号序列断裂 + 该节经文内容
116	8. *The bands of death enclosed	3. *The bands of death enclosed	节号序列断裂 + 该节经文内容
118	6. *Out of anguish I invoked	5. *Out of anguish I invoked	节号序列断裂 + 该节经文内容
119	8. (Who) *also do not practise	3. (Who) *also do not practise	节号序列断裂 + 该节经文内容
119	6. *O that my ways were settled	5. *O that my ways were settled	节号序列断裂 + 该节经文内容
119	85. *Make me tread in the path	35. *Make me tread in the path	节号序列断裂 + 该节经文内容
119	68. *I have sought thy favour	58. *I have sought thy favour	节号序列断裂 + 该节经文内容
119	76. *I know, Jehovah	75. *I know, Jehovah	节号序列断裂 + 该节经文内容
119	180. *The opening of thy words	130. *The opening of thy words	节号序列断裂 + 该节经文内容
119	189. *My zeal consumes me	139. *My zeal consumes me	节号序列断裂 + 该节经文内容
120	8. *What will he give to titee	3. *What will he give to thee	节号序列断裂 + 该节经文内容
147	8. *Hie (one) healing	3. *The (one) healing	节号序列断裂 + 该节经文内容
148	8. *Praise ye him, sun and moon	3. *Praise ye him, sun and moon	节号序列断裂 + 该节经文内容
148	6. *het them praise the name	5. *Let them praise the name	节号序列断裂 + 该节经文内容
18	33 (82). *The Almighty girding	33 (32). *The Almighty girding	节号序列断裂 + 该节经文内容
23	8. *My soul he will restore	3. *My soul he will restore	节号序列断裂 + 该节经文内容
26	8. *For thy mercy (is) before	3. *For thy mercy (is) before	节号序列断裂 + 该节经文内容
29	6. *The voice of Jehovah (is) breaking	5. *The voice of Jehovah (is) breaking	节号序列断裂 + 该节经文内容
37	86. *I saw a wicked (man)	35. *I saw a wicked (man)	节号序列断裂 + 该节经文内容
37	86. *And he passed (away)	36. *And he passed (away)	节号序列断裂 + 该节经文内容
73	29. *As a dream on waking	20. *As a dream on waking	节号序列断裂 + 该节经文内容
78	18. *He clave the sea	13. *He clave the sea	节号序列断裂 + 该节经文内容
78	69. *God heard and was indignant	59. *God heard and was indignant	节号序列断裂 + 该节经文内容
94	6. *Thy people, Jehovah, they grind	5. *Thy people, Jehovah, they grind	节号序列断裂 + 该节经文内容
119	84. *MaJce me understand	34. *Make me understand	节号序列断裂 + 该节经文内容
37	84. *Wait thou for Jehovah	34. *Wait thou for Jehovah	节号序列断裂 + 该节经文内容
78	68. *And made him angry with their heights	58. *And made him angry with their heights	节号序列断裂 + 该节经文内容
119	83. *Guide me, Jehovah	33. *Guide me, Jehovah	节号序列断裂 + 该节经文内容
78	67. *And revolted, and dealt falsely	57. *And revolted, and dealt falsely	节号序列断裂 + 该节经文内容
68	7 (C). *God makes the lonely	7 (6). *God makes the lonely	节号双编号被标点破坏 / 节号序列断裂
69	22 (21)'. *And,*	22 (21). *And,*	节号双编号被标点破坏 / 节号序列断裂
89	50 (49).' *Where are thy former	50 (49). *Where are thy former	节号双编号被标点破坏 / 节号序列断裂
7	6 (6). His consciousness of innocence	6 (5). His consciousness of innocence	节号双编号被标点破坏 / 节号序列断裂
25	20. (0) *keep my soul	20. *O keep my soul	节号双编号被标点破坏 / 节号序列断裂
105	6. *Remember his wondrous deeds	5. *Remember his wondrous deeds	节号重复/断裂 + 该节经文内容
137	5. *Let my tongiie cleave	6. *Let my tongiie cleave	节号重复/断裂 + 该节经文内容
27	8. *If there encamp against me	3. *If there encamp against me	节号重复/断裂 + 该节经文内容
81	5 (4)i *For a law to Israel	5 (4). *For a law to Israel	节号重复/断裂 + 该节经文内容
25	18 (17). The sense will then be	18. The sense will then be	节号重复/断裂 + 该节经文内容
106	86. *And served their idols	36. *And served their idols	节号重复/续段误带节号
109	80. / *will thank Jehovah greatly	30. / *will thank Jehovah greatly	节号重复/续段误带节号
25	18. The sense will then be	The sense will then be	节号重复/续段误带节号
