8	preface.md	謬	誘	direct
8	preface.md	濫	瀆	direct
11	1.md	灌	奠	direct
13	1.md	來	地	ctx24
18	1.md	他們被帶進這希望	他們被帶進希望	direct
21	1.md	是多次	是多少次	direct
22	1.md	目	瞎	ctx24
31	2.md	謬	誘	ctx24
37	2.md	誨	諭	ctx24
38	2.md	並非要蔑視	並非是要蔑視	direct
42	2.md	一君王	一位君王	direct
45	2.md	像	比	ctx24
46	2.md	自誇	自詡	ctx24
51	3.md	地位置	地位	direct
62	3.md	比喻	意喻	ctx12
72	4.md	懸	愚	direct
72	4.md	往往是是指完成	往往是指完成	direct
74	4.md	間	問	ctx24
87	4.md	關於	關乎	ctx24
90	4.md	邪惡	邪慾	ctx24
96	5.md	安	妄	direct
96	5.md	不會再如以前	不再會如以前	direct
98	5.md	重生之前的個人的整個本性	重生之前的人的整個本性	direct
108	5.md	誤	謬	ctx24
109	5.md	因	由	ctx24
120	6.md	附	咐	ctx24
122	6.md	剝	剉	ctx24
122	6.md	上	了	ctx24
