2	preface.md	虑	忠	页内1处 贴合=0.52 方向=+0.03 领先=1.52
5	?	第一次大战	第一次大决战	该页无章映射
5	?	难于读现代科学著作	难于读懂现代科学著作	该页无章映射
11	preface.md	意见	愚见	页内2处 贴合=0.58 方向=+0.08 领先=0.33
14	preface.md	法律	律法	页内2处 贴合=0.22 方向=+0.00 领先=0.05
27	1.md	得荣耀也使父上帝委派的	得荣耀也使父荣耀——而被父上帝委派的	页内1处 贴合=0.10 方向=-0.02 领先=1.10
27	1.md	祈祷	祈求	页内7处 贴合=0.12 方向=+0.00 领先=0.00
27	1.md	愿求	恳求	页内1处 贴合=0.38 方向=+0.00 领先=1.38
29	1.md	敬畏	敬虔	页内2处 贴合=0.65 方向=+0.05 领先=0.50
33	1.md	段首	首页	页内无此串
36	1.md	为平等	列为平等	页内2处 贴合=0.94 方向=+0.03 领先=0.03
37	1.md	错误	错谬	页内4处 贴合=0.92 方向=+0.04 领先=0.00
40	1.md	惜	借	页内1处 贴合=0.18 方向=-0.06 领先=1.18
47	2.md	两种	自夸	页内2处 贴合=0.56 方向=+0.16 领先=0.40
54	2.md	把“偷窃庙中之物”的与	把“偷窃庙中之物”与	页内1处 贴合=0.46 方向=+0.02 领先=1.46
54	2.md	法律	律法	页内4处 贴合=0.38 方向=+0.10 领先=0.10
54	2.md	法律	律法	页内4处 贴合=0.61 方向=+0.03 领先=0.00
63	3.md	里	虽	页内1处 贴合=0.13 方向=+0.00 领先=1.13
70	3.md	我们	他们	页内15处 贴合=0.56 方向=-0.06 领先=0.25
72	3.md	法律	律法	页内1处 贴合=0.09 方向=+0.00 领先=1.09
75	3.md	说	诡	页内15处 贴合=0.33 方向=+0.05 领先=0.10
79	3.md	法律	律法	页内1处 贴合=0.24 方向=+0.00 领先=1.24
79	3.md	并不只是“上帝是否…	并不只是问“上帝是否…	落点跨标点
86	4.md	（脱漏）	保持	页内无此串
90	4.md	信	信赖	页内18处 贴合=0.69 方向=+0.02 领先=0.45
97	4.md	例	倒	页内1处 贴合=0.06 方向=+0.06 领先=1.06
98	4.md	乃是特别、最困难的事	乃是最特别、最困难的事	落点跨标点
100	4.md	耶稣被交给世人	?	页内1处 贴合=0.31 方向=-0.13 领先=1.31
104	5.md	加尔文集	加尔文文集	页内无此串
107	5.md	此处	本处	页内2处 贴合=0.65 方向=+0.05 领先=0.32
108	5.md	受	爱	页内2处 贴合=0.67 方向=+0.05 领先=0.41
111	5.md	法律	律法	页内1处 贴合=0.27 方向=+0.00 领先=1.27
111	5.md	之	的	页内8处 贴合=0.91 方向=-0.06 领先=0.06
113	5.md	在	在此	页内8处 贴合=0.69 方向=+0.04 领先=0.46
115	5.md	功用	功能	页内2处 贴合=0.21 方向=+0.04 领先=0.07
122	6.md	前	今	页内27处 贴合=0.27 方向=+0.04 领先=0.04
124	6.md	效果	果效	页内1处 贴合=0.33 方向=+0.08 领先=1.33
128	6.md	犯	作	页内4处 贴合=0.14 方向=+0.00 领先=0.00
139	7.md	分福	?	页内1处 贴合=0.52 方向=-0.04 领先=1.52
163	8.md	者	着	页内2处 贴合=0.14 方向=+0.05 领先=0.05
164	8.md	加尔文集	加尔文文集	页内无此串
166	8.md	所赋的能力	所有的能力	页内无此串
190	9.md	从前一面章	从前一章	页内无此串
195	9.md	他在从此从容地想到	他在此从容地想到	页内1处 贴合=0.54 方向=+0.01 领先=1.54
198	9.md	此	这	页内130处 贴合=0.68 方向=+0.05 领先=0.42
203	9.md	加拉太书文集	加尔文文集	页内无此串
205	9.md	（无此行）	导，当会更合宜，如此他们才不会沉醉于他们自己的谎…	整段·无短差
207	9.md	人虽恨他	人虽愤慨他	页内无此串
213	9.md	说	话	页内11处 贴合=0.31 方向=+0.08 领先=0.15
216	9.md	思	切	页内2处 贴合=0.11 方向=+0.05 领先=0.00
222	10.md	来	要	页内80处 贴合=0.28 方向=+0.04 领先=0.04
224	10.md	后者却是靠近我们的恩赐，并邀请我们来获得它的恩赐	后者却是靠近我们，并邀请我们来获得它	落点跨标点
225	10.md	结论，我们得救的原因	结论说，我们得救的原因	落点跨标点
227	10.md	厚待	恩待	页内4处 贴合=0.65 方向=+0.05 领先=0.30
233	10.md	要	严	页内5处 贴合=0.33 方向=+0.00 领先=0.13
236	11.md	基督徒	基督	页内1处 贴合=0.54 方向=+0.02 领先=1.54
237	11.md	对	讨	页内3处 贴合=0.53 方向=+0.07 领先=0.40
243	11.md	使徒说到两个真理	使徒说了两个真理	页内无此串
244	11.md	如果保罗对“外邦人的‘兴起’”与	如果保罗以外邦人的“兴起”来与	页内无此串
249	11.md	一生一跟随	一生一世跟随	覆盖率0.05
249	11.md	有些人虽对于上帝的呼召	有些人虽对上帝的呼召	覆盖率0.05
249	11.md	对敌虏的个人别的谈话	对敬虔的人个别的谈话	覆盖率0.05
249	11.md	我们也记得	我们也须记得	覆盖率0.05
249	11.md	上帝的永约	?	覆盖率0.05
249	11.md	保罗也指出。」重复数百次，其后本页余文（自「免得犹太人被弃」起，含「保罗还加上一个条件：只要你长久在他的恩慈里」「不然，你也要被砍下来」等两大段）全部缺失 上下文=「民同得救恩。保罗也指出。保罗也指出。……	保罗也指出，免得犹太人被弃而弃……（以下至页末「因为骄傲是与救恩相反的，所以」全段文字）	覆盖率0.05
254	11.md	就	俯就	页内1处 贴合=0.11 方向=+0.05 领先=1.11
255	11.md	加尔文集	加尔文文集	页内无此串
263	12.md	（无）	看的，要照着上帝所分给各人信心的大小，看得合乎中道。	页内1处 贴合=0.00 方向=+0.00 领先=1.00
268	12.md	劝勉我们殷勤呢	要劝勉我们殷勤呢	页内1处 贴合=0.52 方向=-0.02 领先=1.52
271	12.md	他还要为我们那些伤害我们的人	他还要我们为那些伤害我们的人	页内1处 贴合=0.23 方向=+0.00 领先=1.23
271	12.md	离不可及的事	高不可及的事	页内1处 贴合=0.38 方向=+0.00 领先=1.38
271	12.md	宽宏大作为招牌	宽宏大量为招牌	页内1处 贴合=0.21 方向=+0.00 领先=1.21
281	13.md	他在其所考查的	他在此所考查的	页内无此串
284	13.md	去	以	页内1处 贴合=0.00 方向=+0.00 领先=1.00
286	14.md	兄弟	弟兄	页内2处 贴合=0.56 方向=+0.06 领先=0.39
287	14.md	上帝的旨意	圣经的语气把上帝的旨意	页内1处 贴合=0.32 方向=-0.05 领先=1.32
287	14.md	因为他感谢上帝	因他感谢上帝	页内无此串
293	14.md	（无）	渐堆积成绊脚石，或马上把弟兄推向绊脚石。	页内1处 贴合=0.00 方向=+0.00 领先=1.00
293	14.md	乃是特指亵渎上帝的	乃是指亵渎上帝的	页内1处 贴合=0.41 方向=+0.01 领先=1.41
295	14.md	正	公	页内5处 贴合=0.61 方向=+0.09 领先=0.17
295	14.md	件	样	页内1处 贴合=0.27 方向=+0.09 领先=1.27
295	14.md	一概不作好	一概不作才好	页内无此串
296	14.md	随	睦	页内1处 贴合=0.15 方向=+0.00 领先=1.15
297	14.md	察验	?	页内2处 贴合=0.49 方向=-0.04 领先=0.32
300	15.md	（无）	殿	页内1处 贴合=0.07 方向=+0.00 领先=1.07
310	15.md	他们对们疏忽	?	页内1处 贴合=0.39 方向=-0.11 领先=1.39
312	15.md	引起他们来到	引起他到	页内无此串
314	15.md	兄弟	兄们	页内1处 贴合=0.44 方向=+0.03 领先=1.44
314	15.md	捐款	捐项	页内1处 贴合=0.34 方向=+0.07 领先=1.34
315	16.md	士	土	页内1处 贴合=0.52 方向=+0.06 领先=1.52
315	16.md	士	土	页内1处 贴合=0.12 方向=+0.00 领先=1.12
319	16.md	敬	服	页内1处 贴合=0.17 方向=+0.09 领先=1.17
